,lens_1,lens_2,axial_length,distance_camera_eye_mm,image_size_px,distance_camera_pinhole_mm,distance_pinhole_lens1_mm,distance_lens1_lens2_mm,distance_lens2_grid_mm,experiment_number
0,LE_1156,LB_1945,83.9874534,55,331.0,50.2374534,2.262546596,6.344836312,71.54261709,0
1,LE_1156,LB_1945,90.7374534,55,313.0,50.2374534,2.262546596,6.344836312,78.29261709,1
2,LE_1156,LB_1945,78.0374534,55,346.0,50.2374534,2.262546596,6.344836312,65.59261709,2
3,LE_1156,LB_1945,134.6374534,55,224.0,50.2374534,2.262546596,6.344836312,122.1926171,3
4,LE_1156,LB_1945,107.9374534,55,269.0,50.2374534,2.262546596,6.344836312,95.49261709,4
5,LE_1156,LB_1945,72.0374534,55,371.0,50.2374534,2.262546596,6.344836312,59.59261709,5
6,LE_1156,LB_1945,63.6374534,55,408.0,50.2374534,2.262546596,6.344836312,51.19261709,6
7,LE_1234,LB_1056,62.51915876,50,428.0,45.31915876,2.180841236,5.205295461,51.1138633,7
8,LE_1234,LB_1056,75.91915876,50,366.0,45.31915876,2.180841236,5.205295461,64.5138633,8
9,LE_1234,LB_1056,96.51915876,50,298.0,45.31915876,2.180841236,5.205295461,85.1138633,9
